Номер	Год	Завод	ID детали
342	2021	1275	616943693
353	2021	1275	616943696
393	2021	1275	616943707
437	2021	1275	616943716
444	2021	1275	616943719
130053	2012	5	616945654
546887	2021	5	616950030
11785	2010	1175	616953640
13555	2004	5	616955566
6357	2012	39	616958300
826986	2010	29	616962050
21715	1987	5	616962611
16812	1983	186	616969249
157088	2007	5	616969269
952087	2002	29	616970185
219677	1983	5	616970760
402312	2021	12	616971493
402404	2021	12	616971496
402442	2021	12	616971499
402368	2021	12	616971510
402390	2021	12	616971516
402413	2021	12	616971519
402492	2021	12	616971522
600249	2020	5	616976966
600526	2020	5	616976969
600263	2021	5	616976972
59	1976	119	616977252
35565	1978	39	616978469
94908	2005	5	616981683
32617	2011	1175	616987832
566971	2021	5	616989604
569489	2021	5	616989830
572013	2021	5	616993185
569827	2021	5	616993196
38633	2003	39	617006939
548	2008	119	617007176
153497	2010	5	617007892
205652	2008	5	617007895
256229	1992	29	617010729
104005	2009	5	617017404
45760	1991	29	617018102
61116	2003	5	617019611
125760	2006	5	617019614
845836	1990	29	617026564
19272	1971	186	617026773
618880	1986	39	617027511
70665	2003	5	617028854
271868	2008	5	617030843
983913	2002	29	617030849
290442	2011	5	617033720
21742	2008	1175	617034307
2448	1998	5	617054513
228739	2018	1175	617057401
23689	2019	1175	617057424
66461	1987	39	915393
149	2003	1216	915396
700374	2008	29	923803
403228	2006	29	936578
114512	1984	5	1022732
43188	2008	33	1317845
249789	2012	6733	1318349
157759	1984	5	1482757
73309	2003	5	1562754
114589	1981	39	1630614
58776	2007	39	613325302
61368	2008	5	613351550
311056	1983	39	613369601
788029	1996	29	613403086
787874	2009	29	613551524
783649	1990	29	613551530
924359	2010	29	613551533
226220	1981	5	613871254
177225	1985	5	613885584
11057	2008	39	613894346
15866	2009	1175	613894380
49789	2004	1175	614081141
444042	1993	39	614222274
982190	1991	29	614347612
41406	1972	39	614388588
50056	2020	1487	614698643
50003	2020	1487	614698646
50135	2020	1487	614698652
7194	1979	186	614770637
144632	1987	5	614788058
110252	2011	29	614789045
3729	1984	60	614877120
50104	2019	1487	614912666
50233	2019	1487	614912680
50238	2019	1487	614912683
50180	2019	1487	614912700
50221	2019	1487	614912703
50242	2019	1487	614912706
